"municipio";"low_cost";"rotulo";"mean(precio_gasoleo_a, na.rm = TRUE)";"mean(precio_gasolina_95_e5_premium, na.rm = TRUE)";"max(precio_gasoleo_a, na.rm = TRUE)";"max(precio_gasolina_95_e5_premium, na.rm = TRUE)";"min(precio_gasoleo_a, na.rm = TRUE)";"min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Pina de Ebro";TRUE;"COOPERATIVA SAN GREGORIO";1.281;NA;1.281;-Inf;1.281;Inf
"Pina de Ebro";TRUE;"COALFA";1.281;NA;1.281;-Inf;1.281;Inf
"Pineda de Mar";FALSE;"CEPSA";1.365;NA;1.365;-Inf;1.365;Inf
"Pineda de Mar";TRUE;"TAMOIL";1.30566666666667;NA;1.309;-Inf;1.299;Inf
"Pineda de Mar";TRUE;"E.S. PINEDA DE MAR";1.30566666666667;NA;1.309;-Inf;1.299;Inf
"Pineda de Mar";TRUE;"ESSER";1.30566666666667;NA;1.309;-Inf;1.299;Inf
"Pino (O)";FALSE;"REPSOL";1.3835;NA;1.398;-Inf;1.369;Inf
"Pino (O)";FALSE;"CEPSA";1.3835;NA;1.398;-Inf;1.369;Inf
"Pinofranqueado";TRUE;"BP LAS HURDES";1.359;NA;1.359;-Inf;1.359;Inf
"Pinós";TRUE;"SIN ROTULO";1.26;NA;1.26;-Inf;1.26;Inf
"Pinos Puente";FALSE;"REPSOL";1.364;NA;1.379;-Inf;1.349;Inf
"Pinos Puente";FALSE;"BP";1.364;NA;1.379;-Inf;1.349;Inf
"Pinos Puente";TRUE;"E.S. ANTONIO MARTIN";1.299;NA;1.299;-Inf;1.299;Inf
"Pinoso";FALSE;"REPSOL";1.379;NA;1.379;-Inf;1.379;Inf
"Pinoso";TRUE;"GLOBALTANK PINOSO";1.309;NA;1.309;-Inf;1.309;Inf
